,name,course_interest,date,financial_support_self,geo_flex,result,self_development
30,Deck Itzchaki,Business,01/08/2019,Yes,Yes,Pass,Yes
31,Charlie Danelut,Data,14/08/2019,Yes,No,Fail,Yes
32,Wilt Penritt,Data,01/08/2019,Yes,Yes,Fail,No
33,Stevie Houliston,Engineering,15/08/2019,Yes,Yes,Pass,Yes
34,Fairlie Cogzell,Business,14/08/2019,Yes,Yes,Pass,Yes
35,Beckie Aveling,Business,22/08/2019,Yes,Yes,Fail,Yes
36,Axe Mckall,Business,15/08/2019,Yes,Yes,Pass,Yes
37,Marcela Pass,Business,27/08/2019,Yes,No,Fail,Yes
38,Sauncho Aveson,Data,13/08/2019,Yes,Yes,Pass,Yes
39,Shamus Mccomish,Engineering,15/08/2019,Yes,Yes,Fail,No
40,Andy Lown,Business,22/08/2019,Yes,Yes,Pass,Yes
41,Arny Coorington,Engineering,14/08/2019,Yes,Yes,Pass,Yes
42,Devondra Blabey,Engineering,15/08/2019,Yes,Yes,Fail,No
43,Irita Lyptrit,Engineering,07/08/2019,Yes,Yes,Pass,Yes
44,Jae Rennolds,Data,29/08/2019,Yes,Yes,Pass,Yes
45,Marion Consadine,Business,15/08/2019,Yes,Yes,Pass,Yes
46,Leonore Pettiford,Data,13/08/2019,Yes,Yes,Pass,Yes
47,Edvard Northen,Data,07/08/2019,Yes,Yes,Pass,Yes
48,Oralla Peasgood,Business,07/08/2019,Yes,No,Fail,Yes
49,Ly Ferro,Business,13/08/2019,Yes,No,Fail,Yes
50,Lindsey Gerwood,Data,29/08/2019,Yes,Yes,Fail,Yes
51,Gianna Clevely,Business,01/08/2019,Yes,Yes,Pass,Yes
52,Celine Doree,Data,15/08/2019,Yes,Yes,Pass,Yes
53,Karlene Hughill,Data,21/08/2019,Yes,Yes,Pass,Yes
54,Sayre Webberley,Engineering,14/08/2019,No,Yes,Fail,Yes
55,Phyllys Baelde,Data,15/08/2019,Yes,Yes,Pass,Yes
56,Samuele Whear,Business,20/08/2019,Yes,No,Fail,Yes
57,Darcey Mordin,Business,27/08/2019,Yes,Yes,Pass,Yes
58,Pamelina Itzkovsky,Engineering,13/08/2019,Yes,Yes,Pass,Yes
59,Pamelina Itzkovsky,Engineering,13/08/2019,Yes,Yes,Pass,Yes
60,Laurel Gillogley,Engineering,21/08/2019,Yes,No,Fail,Yes
61,Quinta Cowdray,Engineering,28/08/2019,Yes,Yes,Pass,Yes
62,Cecile Lates,Engineering,15/08/2019,Yes,Yes,Fail,Yes
63,Seumas Lemonby,Engineering,14/08/2019,Yes,Yes,Pass,Yes
64,Gale Quartley,Data,13/08/2019,Yes,Yes,Pass,Yes
65,Dorrie Srutton,Engineering,22/08/2019,Yes,Yes,Fail,No
66,Benny Tichelaar,Data,21/08/2019,Yes,No,Fail,No
67,Avrit Gawith,Business,15/08/2019,Yes,Yes,Pass,Yes
68,Berti Dennehy,Data,22/08/2019,Yes,Yes,Fail,Yes
69,Rockey Robarts,Engineering,14/08/2019,Yes,Yes,Pass,Yes
70,Eloisa Ewert,Business,21/08/2019,No,Yes,Fail,Yes
71,Mireille Risom,Data,21/08/2019,Yes,Yes,Pass,Yes
72,Sharl Daggett,Engineering,22/08/2019,Yes,Yes,Pass,Yes
73,Nikolos Yashin,Business,15/08/2019,Yes,Yes,Fail,Yes
74,Shela Mccall,Engineering,14/08/2019,Yes,Yes,Fail,Yes
75,Sonnie Malenfant,Business,14/08/2019,Yes,Yes,Pass,Yes
76,Mahmud Molineux,Business,20/08/2019,Yes,Yes,Pass,Yes
77,Dylan Llewellen,Data,29/08/2019,No,Yes,Fail,Yes
78,Yvor Phalip,Data,01/08/2019,No,Yes,Fail,Yes
79,Berry Freed,Business,29/08/2019,Yes,Yes,Pass,Yes
80,Marielle Knivett,Business,01/08/2019,Yes,No,Fail,Yes
81,Emmanuel Deniske,Data,15/08/2019,Yes,Yes,Pass,Yes
82,Kerr Coucha,Data,07/08/2019,Yes,Yes,Pass,Yes
83,Dulci Mcgrayle,Data,21/08/2019,Yes,Yes,Pass,Yes
84,Shandee Blaschke,Engineering,21/08/2019,Yes,Yes,Fail,No
85,Paul Chislett,Engineering,14/08/2019,No,Yes,Fail,Yes
86,Florri Loughton,Engineering,01/08/2019,Yes,Yes,Fail,No
87,Hildy Landre,Data,08/08/2019,Yes,Yes,Fail,No
88,Berny Botler,Data,06/08/2019,Yes,Yes,Pass,Yes
89,Merell Tremmil,Engineering,13/08/2019,Yes,Yes,Fail,Yes
90,Ileana Chewter,Business,21/08/2019,Yes,Yes,Pass,Yes
91,Ilario Yeates,Engineering,13/08/2019,Yes,Yes,Fail,No
92,Winnie Lewerenz,Business,06/08/2019,Yes,No,Fail,Yes
93,Garwood Strowan,Data,20/08/2019,Yes,Yes,Fail,No
94,Herb Mcilmorie,Data,08/08/2019,Yes,Yes,Pass,Yes
95,Ingunna Adin,Data,01/08/2019,Yes,Yes,Pass,Yes
96,Frazier Bayston,Data,29/08/2019,Yes,No,Fail,Yes
97,Hewett Lamputt,Engineering,13/08/2019,Yes,Yes,Pass,Yes
98,Rodger Bendelow,Data,22/08/2019,Yes,Yes,Pass,Yes
99,Archer Hobben,Business,14/08/2019,Yes,Yes,Fail,Yes
100,Stephani Prettyman,Engineering,22/08/2019,Yes,Yes,Pass,Yes
101,Pepi Bome,Engineering,20/08/2019,Yes,Yes,Pass,Yes
102,Loella Lonnon,Data,06/08/2019,No,Yes,Fail,Yes
103,Darrin Stoffel,Business,08/08/2019,Yes,Yes,Pass,Yes
104,Mitchel Bates,Engineering,14/08/2019,No,Yes,Fail,Yes
105,Miles Water,Business,08/08/2019,Yes,Yes,Pass,Yes
106,Fanni Polhill,Engineering,28/08/2019,Yes,Yes,Fail,Yes
107,Genvieve Arnke,Business,22/08/2019,Yes,Yes,Fail,No
108,Alicia Hruska,Business,28/08/2019,Yes,Yes,Pass,Yes
109,Mella Aubin,Data,15/08/2019,Yes,Yes,Pass,Yes
110,George Huckstepp,Engineering,06/08/2019,Yes,Yes,Fail,No
111,Joelie Elfitt,Business,29/08/2019,No,Yes,Fail,Yes
112,Omar Rodrigo,Engineering,27/08/2019,Yes,No,Fail,Yes
113,Cal Loache,Business,15/08/2019,Yes,Yes,Fail,Yes
114,Tully Mcdoual,Engineering,07/08/2019,Yes,Yes,Pass,Yes
115,Molli Brayfield,Data,22/08/2019,Yes,Yes,Pass,Yes
116,Janaya Mawford,Data,01/08/2019,Yes,Yes,Pass,Yes
117,Lazarus Hooke,Data,29/08/2019,Yes,Yes,Fail,No
118,Sidney Le Batteur,Data,08/08/2019,Yes,Yes,Pass,Yes
119,Maryellen Vasovic,Data,20/08/2019,Yes,Yes,Pass,Yes
120,Winona Rubinowitz,Engineering,29/08/2019,Yes,Yes,Pass,Yes
121,Dur Plom,Engineering,14/08/2019,Yes,Yes,Fail,Yes
122,Gisela Aisbett,Engineering,15/08/2019,Yes,Yes,Pass,Yes
123,Appolonia Jovis,Business,29/08/2019,No,No,Fail,Yes
124,Diandra Dyhouse,Business,27/08/2019,Yes,Yes,Pass,Yes
125,Cornall Offer,Data,01/08/2019,Yes,No,Fail,Yes
126,Dominique Narbett,Business,20/08/2019,Yes,Yes,Pass,Yes
127,Gusti Horrod,Data,27/08/2019,Yes,Yes,Pass,Yes
128,Brnaby Bownes,Engineering,01/08/2019,Yes,Yes,Pass,Yes
129,Berky Bailey,Business,28/08/2019,Yes,Yes,Pass,Yes
130,Harriett Saffin,Business,28/08/2019,Yes,Yes,Pass,Yes
131,Pooh Christy,Data,28/08/2019,Yes,Yes,Pass,Yes
132,Tris Landrean,Data,29/08/2019,Yes,Yes,Pass,Yes
133,Derk Andress,Business,13/08/2019,Yes,Yes,Pass,Yes
134,Engelbert Vahl,Data,21/08/2019,Yes,Yes,Pass,Yes
135,Prentiss Godman,Engineering,20/08/2019,Yes,Yes,Fail,Yes
136,Angel Hulson,Business,14/08/2019,Yes,Yes,Fail,Yes
137,Mike Milliere,Engineering,06/08/2019,Yes,Yes,Pass,Yes
138,Gayleen Petru,Business,14/08/2019,Yes,Yes,Pass,Yes
139,Jozef Burr,Engineering,07/08/2019,Yes,Yes,Pass,Yes
140,Allina Grelka,Engineering,28/08/2019,Yes,Yes,Pass,Yes
141,Carr Kensall,Business,20/08/2019,Yes,No,Fail,Yes
142,Nil Macpaike,Business,06/08/2019,Yes,Yes,Pass,Yes
143,Jessie Petriello,Engineering,06/08/2019,Yes,Yes,Pass,Yes
144,George O'Duane,Data,06/08/2019,Yes,Yes,Pass,Yes
145,Mendie Mcbean,Engineering,15/08/2019,Yes,Yes,Pass,Yes
146,Roze Yepiskopov,Engineering,21/08/2019,Yes,Yes,Pass,Yes
147,Boote Moan,Business,20/08/2019,Yes,Yes,Pass,Yes
148,Tito Greiswood,Engineering,20/08/2019,Yes,Yes,Pass,Yes
149,Reg Vandenhoff,Data,27/08/2019,Yes,Yes,Pass,Yes
150,Ravid Leyninye,Data,06/08/2019,Yes,Yes,Pass,Yes
151,Ninetta Joyce,Data,06/08/2019,Yes,Yes,Pass,Yes
152,Rozalin Summerscales,Engineering,28/08/2019,Yes,Yes,Pass,Yes
153,Rafi Andrzejczak,Business,07/08/2019,Yes,No,Fail,Yes
154,Rafi Andrzejczak,Business,07/08/2019,Yes,No,Fail,Yes
155,Mead Stolting,Data,29/08/2019,Yes,No,Fail,Yes
156,Chickie Kezar,Business,21/08/2019,No,Yes,Fail,Yes
157,Cornall Wastall,Engineering,15/08/2019,Yes,Yes,Pass,Yes
158,Carlin Stellino,Engineering,20/08/2019,No,Yes,Fail,Yes
159,Sherline Cudihy,Data,01/08/2019,Yes,Yes,Pass,Yes
160,Burnard Fielden,Data,21/08/2019,Yes,No,Fail,Yes
161,Valle Humby,Engineering,21/08/2019,Yes,Yes,Pass,Yes
162,Jillie Howles,Data,27/08/2019,No,Yes,Fail,Yes
163,Chucho Galfour,Engineering,13/08/2019,Yes,Yes,Pass,Yes
164,Orland Glaisner,Engineering,13/08/2019,Yes,Yes,Pass,Yes
165,Luz Gasparro,Engineering,08/08/2019,Yes,Yes,Pass,Yes
166,Melesa Mault,Data,07/08/2019,Yes,No,Fail,Yes
167,Trudie Kiellor,Data,06/08/2019,Yes,Yes,Pass,Yes
168,Nancie Sazio,Engineering,15/08/2019,Yes,Yes,Pass,Yes
169,Welby Wishkar,Business,14/08/2019,Yes,Yes,Fail,Yes
170,Carce Capel,Business,28/08/2019,Yes,Yes,Fail,No
171,Oralia Barrat,Data,27/08/2019,Yes,Yes,Pass,Yes
172,Katuscha Ransfield,Engineering,07/08/2019,Yes,No,Fail,Yes
173,Norene Fierro,Business,01/08/2019,Yes,No,Fail,Yes
174,Mylo Sudell,Data,06/08/2019,Yes,Yes,Pass,Yes
175,Shannon Hartman,Engineering,21/08/2019,Yes,Yes,Fail,Yes
176,Blakeley Strood,Data,06/08/2019,Yes,Yes,Pass,Yes
177,Rafi Downse,Engineering,21/08/2019,Yes,Yes,Pass,Yes
178,Demetrius Tunstall,Engineering,07/08/2019,Yes,Yes,Pass,Yes
179,Melinde Darton,Business,21/08/2019,Yes,Yes,Pass,Yes
180,Dulcea Perl,Engineering,22/08/2019,Yes,Yes,Pass,Yes
181,Milton Conaghan,Engineering,08/08/2019,Yes,Yes,Pass,Yes
182,Chere Siddens,Business,29/08/2019,No,Yes,Fail,No
183,Putnem Hessing,Data,08/08/2019,Yes,Yes,Pass,Yes
184,Timmi Haveline,Business,22/08/2019,Yes,Yes,Pass,Yes
185,Garald Banasevich,Data,08/08/2019,Yes,Yes,Pass,Yes
186,Anselma Pavelin,Business,21/08/2019,Yes,Yes,Fail,Yes
187,Querida Antonacci,Data,29/08/2019,Yes,Yes,Pass,Yes
188,Leda Aharoni,Business,13/08/2019,Yes,Yes,Pass,Yes
189,Norri Temby,Engineering,27/08/2019,Yes,Yes,Pass,Yes
190,Margery Winspur,Data,07/08/2019,Yes,Yes,Pass,Yes
191,Bord Ollin,Business,14/08/2019,No,Yes,Fail,Yes
192,Dodie Lassells,Data,27/08/2019,Yes,Yes,Pass,Yes
193,Corie Snodin,Data,22/08/2019,No,Yes,Fail,Yes
194,Arron Cuerdall,Engineering,08/08/2019,Yes,Yes,Pass,Yes
195,Josh Youens,Engineering,08/08/2019,Yes,Yes,Pass,Yes
196,Aldo Bradnum,Engineering,27/08/2019,Yes,Yes,Pass,Yes
197,Xymenes Pretor,Engineering,07/08/2019,Yes,Yes,Pass,Yes
198,Heinrik Allwell,Business,08/08/2019,Yes,Yes,Pass,Yes
199,Bob Rogerson,Data,07/08/2019,Yes,Yes,Pass,Yes
200,Neall Mayor,Data,07/08/2019,No,Yes,Fail,Yes
201,Ilysa Kiggel,Data,07/08/2019,Yes,Yes,Pass,Yes
202,Melisse Craze,Data,20/08/2019,Yes,Yes,Fail,Yes
203,Petronille Dougharty,Business,29/08/2019,Yes,Yes,Fail,No
204,Urbano Reinisch,Engineering,13/08/2019,Yes,Yes,Pass,Yes
205,Noami Edworthye,Business,20/08/2019,Yes,Yes,Fail,No
206,Cynthia Jenny,Business,06/08/2019,Yes,No,Fail,Yes
207,Ivett Prop,Business,22/08/2019,Yes,Yes,Pass,Yes
208,Lamond Levensky,Data,13/08/2019,Yes,Yes,Pass,Yes
209,Estevan Bartalini,Engineering,21/08/2019,Yes,Yes,Pass,Yes
210,Redford Bubbings,Engineering,15/08/2019,Yes,Yes,Fail,No
211,Redford Bubbings,Engineering,15/08/2019,Yes,Yes,Fail,No
212,Brandais Reiner,Business,22/08/2019,Yes,Yes,Pass,Yes
213,Correy Clemont,Data,28/08/2019,Yes,No,Fail,Yes
214,Starr Curcher,Business,15/08/2019,Yes,No,Fail,Yes
215,Rosaline Goldsmith,Engineering,21/08/2019,Yes,Yes,Pass,Yes
216,Chancey Climer,Business,27/08/2019,Yes,Yes,Pass,Yes
217,Gena Humbles,Engineering,29/08/2019,Yes,Yes,Pass,Yes
218,Madeleine Younglove,Engineering,06/08/2019,Yes,No,Fail,Yes
219,Leonerd Scamel,Engineering,08/08/2019,Yes,Yes,Fail,No
220,Balduin Culleton,Data,13//08/2019,Yes,Yes,Fail,Yes
221,Oliy Ellar,Engineering,13/08/2019,No,Yes,Fail,Yes
222,Carena Nizet,Engineering,08/08/2019,Yes,Yes,Pass,Yes
223,Theo Ottee,Engineering,21/08/2019,Yes,Yes,Pass,Yes
224,Britt Summergill,Data,28/08/2019,Yes,Yes,Pass,Yes
225,Nial Oret,Data,13/08/2019,Yes,No,Fail,Yes
226,Pegeen O'Lochan,Business,15/08/2019,No,Yes,Fail,Yes
227,Kingsley Hardaker,Business,28/08/2019,Yes,Yes,Pass,Yes
228,Lorine Bignall,Business,01/08/2019,Yes,Yes,Fail,Yes
229,Christian Bingley,Data,13/08/2019,Yes,Yes,Pass,Yes
230,Ad Do,Engineering,21/08/2019,Yes,Yes,Pass,Yes
231,Beret Devonside,Business,15/08/2019,No,Yes,Fail,Yes
232,Denyse Weth,Business,22/08/2019,Yes,Yes,Pass,Yes
233,Deirdre Van Den Velde,Engineering,01/08/2019,Yes,Yes,Pass,Yes
234,Bevon Mustill,Engineering,15/08/2019,Yes,No,Fail,No
235,Ruthe Adolthine,Data,01/08/2019,No,Yes,Fail,Yes
236,Vaughn Wallington,Business,27/08/2019,Yes,Yes,Pass,Yes
237,Matty Ceney,Engineering,08/08/2019,Yes,Yes,Pass,Yes
238,Rubia Espy,Business,08/08/2019,Yes,Yes,Pass,Yes
239,Meridel Dearell,Data,21/08/2019,Yes,Yes,Pass,Yes
240,Noelyn Sinkin,Business,21/08/2019,Yes,Yes,Pass,Yes
241,Mozelle Grinnov,Engineering,20/08/2019,Yes,Yes,Pass,Yes
242,Christyna Arkill,Data,21/08/2019,Yes,Yes,Pass,Yes
243,Kain Lowne,Data,29/08/2019,Yes,Yes,Pass,Yes
244,Mitchel Blackesland,Data,14/08/2019,Yes,Yes,Pass,Yes
245,Albie Lyon,Data,22/08/2019,Yes,Yes,Pass,Yes
246,Farand Rotlauf,Engineering,20/08/2019,Yes,Yes,Pass,Yes
247,Bo Fargie,Engineering,28/08/2019,Yes,Yes,Pass,Yes
248,Arch Cookley,Engineering,20/08/2019,Yes,No,Fail,Yes
249,Martica Cawse,Engineering,08/08/2019,Yes,Yes,Pass,Yes
250,Nancie Mehaffey,Data,08/08/2019,Yes,Yes,Pass,Yes
251,Donnamarie Schofield,Data,15/08/2019,Yes,Yes,Pass,Yes
252,Erda Liddel,Business,06/08/2019,Yes,No,Fail,Yes
253,Alister Bru,Engineering,07/08/2019,Yes,Yes,Pass,Yes
254,Sigismund Izkovici,Engineering,15/08/2019,Yes,Yes,Pass,Yes
255,Star Jurges,Data,01/08/2019,Yes,Yes,Pass,Yes
256,Pauly Gillbee,Business,28/08/2019,Yes,Yes,Pass,Yes
257,Stan Forkan,Data,01/08/2019,Yes,Yes,Fail,Yes
258,Brinn Trewhela,Business,06/08/2019,Yes,Yes,Pass,Yes
259,Rodrigo Endrighi,Data,14/08/2019,Yes,Yes,Pass,Yes
260,Tansy Dukelow,Engineering,20/08/2019,Yes,No,Fail,Yes
261,Sean Ovise,Engineering,27/08/2019,Yes,Yes,Pass,Yes
262,Anselma Pawlett,Data,21/08/2019,Yes,Yes,Pass,Yes
263,Kerrie Rosi,Business,22/08/2019,Yes,Yes,Pass,Yes
264,Dorothy Hailwood,Business,15/08/2019,Yes,No,Fail,Yes
265,Jodie Kaygill,Data,01/08/2019,Yes,Yes,Pass,Yes
266,Jim Dwerryhouse,Business,27/08/2019,Yes,Yes,Pass,Yes
267,Delinda Conybear,Data,01/08/2019,Yes,Yes,Pass,Yes
268,Norby Burle,Business,21/08/2019,Yes,No,Fail,No
269,Robinet Renwick,Business,15/08/2019,Yes,Yes,Pass,Yes
270,Perry Richemond,Data,08/08/2019,Yes,Yes,Pass,Yes
271,Carlyn Reisin,Business,14/08/2019,Yes,Yes,Pass,Yes
272,Horatius Starking,Business,08/08/2019,No,Yes,Fail,Yes
273,Leoline Vigietti,Business,07/08/2019,Yes,Yes,Pass,Yes
274,Rudolf Maple,Data,21/08/2019,Yes,Yes,Pass,Yes
275,Alwin Bullman,Data,07/08/2019,Yes,Yes,Pass,Yes
276,Shae Ainslie,Business,15/08/2019,Yes,Yes,Pass,Yes
277,Ciel Poizer,Business,14/08/2019,Yes,Yes,Fail,No
278,Matteo Yeowell,Business,01/08/2019,Yes,Yes,Pass,Yes
279,Saundra Fuzzens,Business,28//08/2019,Yes,Yes,Fail,Yes
280,Denise Oppy,Engineering,21/08/2019,Yes,Yes,Pass,Yes
281,Didi Stronough,Engineering,29/08/2019,Yes,Yes,Pass,Yes
282,Tarrah Bunny,Business,07/08/2019,Yes,Yes,Pass,Yes
283,Bondon Josselson,Engineering,15/08/2019,Yes,No,Fail,Yes
284,Denny Begg,Data,08/08/2019,Yes,Yes,Pass,Yes
285,Clim Lovie,Business,29/08/2019,Yes,Yes,Fail,Yes
286,Wolf Radolf,Engineering,08/08/2019,Yes,Yes,Pass,Yes
287,Ferrel Lissandrini,Business,29/08/2019,Yes,Yes,Fail,Yes
288,Carlos Gerckens,Data,01/08/2019,Yes,Yes,Pass,Yes
289,Blake Nunson,Engineering,01/08/2019,Yes,Yes,Pass,Yes
290,Paula Danielsen,Business,22/08/2019,No,Yes,Fail,Yes
291,Brose Menghi,Engineering,06/08/2019,Yes,Yes,Pass,Yes
292,Junia Collins,Data,29/08/2019,Yes,Yes,Pass,Yes
293,Jule Corke,Engineering,29/08/2019,No,Yes,Fail,Yes
294,Matteo Cornewell,Business,27/08/2019,Yes,Yes,Pass,Yes
295,Sid Libbie,Engineering,01/08/2019,No,Yes,Fail,Yes
296,Rhody Cushion,Business,27/08/2019,Yes,Yes,Pass,Yes
297,Chester Hanselmann,Data,07/08/2019,No,Yes,Fail,Yes
298,Courtney Wenman,Engineering,28/08/2019,Yes,Yes,Fail,No
299,Vaclav Ortler,Data,20/08/2019,Yes,Yes,Pass,Yes
300,Mariquilla Cowope,Business,14/08/2019,Yes,Yes,Fail,Yes
301,Joey Macgeffen,Data,14/08/2019,Yes,Yes,Pass,Yes
302,Cora Klausewitz,Data,15/08/2019,Yes,Yes,Pass,Yes
303,Gris Brame,Business,14/08/2019,No,Yes,Fail,Yes
304,Berty Huban,Business,18/07/2019,Yes,Yes,Pass,Yes
305,Matthieu Dulake,Engineering,31/07/2019,Yes,Yes,Pass,Yes
306,Darwin Sambiedge,Data,10/07/2019,Yes,Yes,Fail,Yes
307,Sim Bacchus,Data,23/07/2019,Yes,Yes,Pass,Yes
308,Anabal Teese,Business,09/07/2019,Yes,No,Fail,Yes
309,Sybila Bragge,Data,23/07/2019,Yes,No,Fail,Yes
310,Donalt Gummoe,Data,16/07/2019,Yes,Yes,Fail,No
311,Romola Coldtart,Data,17/07/2019,Yes,Yes,Pass,Yes
312,Shea Chasmoor,Business,17/07/2019,Yes,Yes,Fail,Yes
313,Nora Akers,Engineering,24/07/2019,Yes,Yes,Pass,Yes
314,Sander Rewbottom,Data,25/07/2019,Yes,Yes,Pass,Yes
315,Francklyn Leyninye,Business,24/07/2019,Yes,Yes,Pass,Yes
316,Julissa Dumbleton,Data,24/07/2019,Yes,Yes,Pass,Yes
317,Zacharias Restorick,Business,11/07/2019,Yes,Yes,Pass,Yes
318,Andriana Uc,Business,02/07/2019,Yes,Yes,Pass,Yes
319,Benita Enefer,Data,11/07/2019,Yes,Yes,Pass,Yes
320,Isacco Teese,Business,02/07/2019,Yes,Yes,Pass,Yes
321,Farlee Baalham,Data,16/07/2019,Yes,No,Fail,Yes
322,Zsa Zsa Rounsefull,Data,16/07/2019,Yes,Yes,Fail,Yes
323,Amanda Minto,Business,18/07/2019,Yes,Yes,Fail,No
324,Annie Ibbotson,Business,25/07/2019,Yes,No,Fail,Yes
325,Roana Sanger,Business,11/07/2019,Yes,No,Fail,Yes
326,Elise Soppeth,Data,24/07/2019,Yes,Yes,Pass,Yes
327,Betty Lamlin,Data,10/07/2019,Yes,Yes,Fail,No
328,Verena Townes,Business,16/07/2019,Yes,Yes,Pass,Yes
329,Constance Fellibrand,Engineering,09/07/2019,Yes,Yes,Pass,Yes
330,Joannes Yurshev,Business,18/07/2019,Yes,Yes,Pass,Yes
331,Brunhilde Zellick,Engineering,03/07/2019,Yes,Yes,Pass,Yes
332,Mathilde Keppin,Engineering,02/07/2019,Yes,Yes,Pass,Yes
333,Aili Bursnoll,Engineering,30/07/2019,Yes,No,Fail,Yes
334,Kerr Allanson,Data,24/07/2019,Yes,Yes,Fail,No
335,Eldin Broster,Data,17/07/2019,Yes,Yes,Fail,Yes
336,Cherrita Mcgilleghole,Engineering,11/07/2019,Yes,Yes,Pass,Yes
337,Ortensia Winscomb,Data,11/07/2019,Yes,Yes,Pass,Yes
338,Fleming Mcmurdo,Data,09/07/2019,Yes,No,Fail,Yes
339,Brigid Blabber,Business,23/07/2019,Yes,Yes,Pass,Yes
340,Ludvig Grzes,Data,16/07/2019,Yes,Yes,Pass,Yes
341,Hurley Collyer,Engineering,24/07/2019,Yes,No,Fail,Yes
342,Kitty Allen,Business,02/07/2019,Yes,Yes,Pass,Yes
343,Bary Fendlen,Business,18/07/2019,Yes,Yes,Fail,Yes
344,Horten Goble,Business,24/07/2019,Yes,Yes,Pass,Yes
345,Natassia Pawle,Engineering,03/07/2019,Yes,Yes,Pass,Yes
346,Karoly Skates,Engineering,16/07/2019,Yes,Yes,Pass,Yes
347,Albina Alves,Business,02/07/2019,Yes,Yes,Pass,Yes
348,Evered Giovanizio,Business,04/07/2019,Yes,Yes,Fail,No
349,Elliot Yarnley,Engineering,23/07/2019,Yes,Yes,Fail,Yes
350,Vanessa Gives,Data,30/07/2019,Yes,Yes,Fail,No
351,Fremont Oxlee,Business,18/07/2019,Yes,Yes,Fail,Yes
352,Fan Hember,Business,04/07/2019,Yes,No,Fail,Yes
353,Fee Karpe,Data,17/07/2019,Yes,Yes,Pass,Yes
354,Fee Karpe,Data,17/07/2019,Yes,Yes,Pass,Yes
355,Katrine Westley,Engineering,24/07/2019,Yes,No,Fail,Yes
356,Quill Tompkinson,Data,10/07/2019,Yes,Yes,Fail,Yes
357,Donavon Glazebrook,Business,23/07/2019,Yes,Yes,Pass,Yes
358,Gisele Beetham,Data,25/07/2019,Yes,No,Fail,No
359,Hilliard Reinard,Engineering,18/07/2019,Yes,Yes,Pass,Yes
360,Ira Rathbourne,Data,18/07/2019,Yes,Yes,Pass,Yes
361,Shaun Dowley,Business,10/07/2019,No,Yes,Fail,Yes
362,Hartwell Silver,Engineering,30/07/2019,Yes,Yes,Pass,Yes
363,Shoshanna Janicek,Engineering,18/07/2019,Yes,Yes,Pass,Yes
364,Ingrid Cradick,Data,24/07/2019,Yes,No,Fail,Yes
365,Chevy Pyburn,Engineering,02/07/2019,Yes,Yes,Pass,Yes
366,Bertram Esgate,Data,30/07/2019,Yes,Yes,Pass,Yes
367,Larisa Warrington,Business,02/07/2019,Yes,Yes,Fail,No
368,Lissa Pumfrett,Data,11/07/2019,Yes,Yes,Pass,Yes
369,Demetrius Dunbavin,Business,02/07/2019,Yes,Yes,Pass,Yes
370,Morgen Lilywhite,Data,09/07/2019,Yes,Yes,Pass,Yes
371,Rickard Blakes,Engineering,09/07/2019,Yes,Yes,Pass,Yes
372,Emily Barras,Business,30/07/2019,Yes,Yes,Pass,Yes
373,Tonye Ambrogio,Data,18/07/2019,Yes,Yes,Pass,Yes
