,name,status,workstream_name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8,Analytic_W9,Independent_W9,Determined_W9,Professional_W9,Studious_W9,Imaginative_W9,Analytic_W10,Independent_W10,Determined_W10,Professional_W10,Studious_W10,Imaginative_W10
10,Nicolai Nussey,Completed Training,Business 21,Bruce Lugo,4,1,5,2,2,3,2.0,4.0,2.0,6.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,8.0,8.0,7.0,8.0,3.0,5.0,5.0,4.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,4.0,4.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,5.0,5.0,5.0,,,,,,,,,,,,
11,Elora Ellen,Completed Training,Business 21,Bruce Lugo,3,2,3,4,3,3,2.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,5.0,4.0,6.0,6.0,4.0,8.0,7.0,7.0,7.0,6.0,8.0,4.0,7.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,4.0,7.0,8.0,7.0,,,,,,,,,,,,
12,Llywellyn Hoggins,Discontinued From Course,Business 21,Bruce Lugo,1,3,2,2,3,3,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bobbye Hains,Completed Training,Business 21,Bruce Lugo,3,4,4,1,1,5,3.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,8.0,6.0,8.0,5.0,4.0,4.0,5.0,7.0,8.0,3.0,6.0,8.0,5.0,5.0,8.0,7.0,8.0,7.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,4.0,6.0,8.0,,,,,,,,,,,,
14,Audrye Tobias,Completed Training,Business 21,Bruce Lugo,5,4,3,5,5,4,4.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,6.0,6.0,4.0,6.0,8.0,7.0,8.0,6.0,5.0,3.0,8.0,7.0,8.0,6.0,5.0,5.0,3.0,5.0,8.0,6.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,
15,Georg Battman,Completed Training,Business 21,Bruce Lugo,1,1,1,6,5,5,7.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,8.0,6.0,4.0,4.0,5.0,7.0,8.0,4.0,3.0,4.0,6.0,4.0,8.0,8.0,3.0,3.0,4.0,6.0,4.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,,,,,,,,,,,,
16,Adolph Andreia,Completed Training,Business 21,Bruce Lugo,3,3,7,1,6,4,3.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,6.0,8.0,8.0,4.0,6.0,4.0,5.0,3.0,7.0,8.0,3.0,7.0,7.0,3.0,8.0,8.0,8.0,2.0,6.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
17,Ilaire Ord,Completed Training,Business 21,Bruce Lugo,7,2,6,5,5,1,2.0,6.0,2.0,1.0,1.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,1.0,7.0,8.0,8.0,5.0,5.0,8.0,5.0,5.0,6.0,4.0,4.0,8.0,2.0,8.0,4.0,6.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,5.0,,,,,,,,,,,,
18,Thorpe Pettett,Completed Training,Business 21,Bruce Lugo,6,1,4,4,2,1,7.0,1.0,6.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,7.0,6.0,8.0,8.0,7.0,8.0,8.0,6.0,6.0,8.0,5.0,3.0,6.0,7.0,2.0,4.0,2.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,,,,,,,,,,,,
19,Tiphany Gribben,Discontinued From Course,Business 21,Bruce Lugo,2,1,3,1,2,5,3.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pam Hupka,Completed Training,Business 21,Bruce Lugo,1,5,2,1,5,1,2.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,5.0,7.0,4.0,1.0,8.0,7.0,7.0,8.0,8.0,7.0,5.0,5.0,6.0,7.0,8.0,5.0,7.0,3.0,5.0,3.0,7.0,8.0,4.0,7.0,4.0,8.0,8.0,7.0,6.0,6.0,8.0,8.0,7.0,8.0,,,,,,,,,,,,
21,Verne Francescuzzi,Completed Training,Business 22,Gregor Gomez,2,4,1,2,3,4,2.0,2.0,2.0,3.0,8.0,6.0,4.0,3.0,2.0,6.0,3.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,5.0,5.0,5.0,8.0,8.0,4.0,8.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,,,,,,,,,,,,
22,Audi Westmacott,Completed Training,Business 22,Gregor Gomez,2,4,1,3,3,3,5.0,5.0,2.0,3.0,1.0,4.0,3.0,1.0,7.0,1.0,1.0,3.0,5.0,3.0,8.0,6.0,8.0,8.0,5.0,7.0,3.0,5.0,5.0,1.0,7.0,3.0,6.0,1.0,6.0,2.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,,,,,,,,,,,,
23,Gae Crutch,Completed Training,Business 22,Gregor Gomez,6,3,2,3,3,2,2.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,7.0,4.0,4.0,8.0,4.0,3.0,6.0,5.0,6.0,7.0,6.0,8.0,3.0,8.0,8.0,3.0,6.0,6.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,,,,,,,,,,,,
24,Fowler Crewdson,Completed Training,Business 22,Gregor Gomez,1,1,3,7,5,5,1.0,6.0,2.0,5.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,2.0,7.0,6.0,6.0,4.0,6.0,4.0,2.0,7.0,8.0,7.0,3.0,8.0,4.0,8.0,8.0,3.0,5.0,8.0,8.0,6.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
25,Joletta Matzaitis,Completed Training,Business 22,Gregor Gomez,4,4,3,4,5,6,2.0,6.0,4.0,2.0,5.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,8.0,8.0,7.0,5.0,8.0,5.0,7.0,2.0,6.0,8.0,5.0,2.0,8.0,4.0,7.0,7.0,3.0,8.0,8.0,8.0,5.0,8.0,8.0,7.0,8.0,8.0,6.0,8.0,7.0,7.0,,,,,,,,,,,,
26,Ofelia Helm,Completed Training,Business 22,Gregor Gomez,1,7,3,1,4,3,5.0,1.0,6.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,7.0,8.0,5.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,5.0,7.0,6.0,,,,,,,,,,,,
27,Quinton Kuhnt,Completed Training,Business 22,Gregor Gomez,2,3,5,4,3,5,4.0,2.0,3.0,3.0,6.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,4.0,6.0,4.0,8.0,6.0,7.0,6.0,6.0,8.0,4.0,5.0,3.0,3.0,7.0,4.0,8.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
28,Frankie Mabee,Completed Training,Business 22,Gregor Gomez,1,3,3,7,2,2,1.0,2.0,3.0,6.0,4.0,1.0,2.0,7.0,2.0,2.0,2.0,3.0,8.0,5.0,4.0,6.0,7.0,7.0,3.0,1.0,8.0,6.0,3.0,5.0,7.0,2.0,8.0,4.0,5.0,4.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,3.0,8.0,8.0,,,,,,,,,,,,
29,Cami Burberow,Completed Training,Business 22,Gregor Gomez,1,5,4,6,3,5,5.0,1.0,3.0,3.0,6.0,8.0,5.0,3.0,6.0,3.0,1.0,4.0,7.0,5.0,8.0,8.0,8.0,5.0,8.0,6.0,4.0,8.0,8.0,5.0,8.0,7.0,6.0,8.0,7.0,4.0,8.0,8.0,6.0,8.0,5.0,8.0,4.0,6.0,5.0,4.0,8.0,8.0,,,,,,,,,,,,
30,Gayla Bownas,Completed Training,Business 22,Gregor Gomez,3,3,4,4,3,3,1.0,2.0,4.0,2.0,5.0,5.0,1.0,2.0,7.0,2.0,3.0,2.0,4.0,7.0,5.0,6.0,7.0,8.0,8.0,7.0,7.0,6.0,6.0,2.0,3.0,7.0,5.0,8.0,4.0,8.0,6.0,8.0,4.0,5.0,4.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,,,,,,,,,,,,
31,Latisha Ibel,Completed Training,Business 22,Gregor Gomez,2,3,5,4,6,3,4.0,7.0,4.0,4.0,3.0,6.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,1.0,6.0,5.0,5.0,3.0,4.0,3.0,5.0,8.0,8.0,5.0,5.0,7.0,6.0,3.0,8.0,5.0,6.0,5.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,5.0,8.0,8.0,,,,,,,,,,,,
32,Darb Noor,Completed Training,Business 23,Neil Mccarthy,3,6,2,4,3,2,1.0,1.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,1.0,5.0,2.0,7.0,3.0,4.0,8.0,5.0,4.0,6.0,4.0,8.0,5.0,2.0,3.0,8.0,7.0,8.0,4.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,
33,Adah Spencers,Completed Training,Business 23,Neil Mccarthy,5,3,2,5,4,3,4.0,5.0,1.0,1.0,4.0,1.0,6.0,3.0,1.0,7.0,2.0,2.0,4.0,6.0,8.0,7.0,3.0,5.0,2.0,5.0,8.0,3.0,3.0,5.0,5.0,6.0,5.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,,,,,,,,,,,,
34,Kariotta Barense,Completed Training,Business 23,Neil Mccarthy,4,4,5,2,3,1,2.0,2.0,3.0,3.0,6.0,3.0,4.0,4.0,5.0,5.0,1.0,4.0,8.0,4.0,7.0,4.0,8.0,6.0,8.0,7.0,2.0,7.0,4.0,3.0,5.0,6.0,8.0,7.0,5.0,7.0,8.0,5.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,3.0,5.0,8.0,,,,,,,,,,,,
35,Biddy Rapps,Completed Training,Business 23,Neil Mccarthy,4,4,2,5,5,5,4.0,3.0,6.0,6.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,5.0,8.0,6.0,5.0,6.0,4.0,7.0,3.0,3.0,3.0,4.0,7.0,3.0,7.0,8.0,5.0,5.0,6.0,7.0,6.0,8.0,8.0,8.0,7.0,5.0,5.0,8.0,5.0,8.0,8.0,,,,,,,,,,,,
36,Thatcher Frankish,Completed Training,Business 23,Neil Mccarthy,3,3,1,3,1,6,3.0,1.0,4.0,2.0,2.0,1.0,4.0,4.0,3.0,6.0,4.0,3.0,3.0,7.0,3.0,4.0,5.0,4.0,8.0,4.0,7.0,6.0,4.0,4.0,6.0,3.0,8.0,6.0,3.0,3.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,8.0,,,,,,,,,,,,
37,Idelle Kidstoun,Completed Training,Business 23,Neil Mccarthy,4,2,3,3,1,4,1.0,6.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,8.0,2.0,2.0,8.0,5.0,6.0,3.0,7.0,8.0,4.0,7.0,4.0,5.0,3.0,8.0,3.0,8.0,1.0,8.0,8.0,6.0,5.0,8.0,7.0,5.0,5.0,6.0,7.0,,,,,,,,,,,,
38,Bailey Antrim,Completed Training,Business 23,Neil Mccarthy,2,4,4,4,5,6,4.0,2.0,4.0,2.0,4.0,2.0,4.0,6.0,2.0,4.0,6.0,3.0,5.0,4.0,3.0,2.0,8.0,4.0,4.0,8.0,1.0,8.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,8.0,7.0,7.0,8.0,7.0,5.0,5.0,6.0,6.0,3.0,8.0,6.0,,,,,,,,,,,,
39,William Dryden,Completed Training,Business 23,Neil Mccarthy,2,4,2,2,4,4,1.0,2.0,3.0,2.0,3.0,2.0,6.0,3.0,2.0,7.0,6.0,2.0,6.0,8.0,5.0,3.0,3.0,8.0,8.0,8.0,7.0,5.0,6.0,5.0,4.0,4.0,8.0,7.0,3.0,6.0,6.0,7.0,8.0,8.0,6.0,8.0,8.0,5.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,
40,Dean Burnup,Discontinued From Course,Business 23,Neil Mccarthy,1,4,2,3,2,2,2.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Burtie Garfitt,Completed Training,Business 23,Neil Mccarthy,1,1,5,5,5,3,3.0,3.0,1.0,4.0,2.0,5.0,6.0,1.0,2.0,5.0,1.0,1.0,6.0,6.0,7.0,4.0,5.0,3.0,7.0,6.0,5.0,4.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,8.0,8.0,4.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,5.0,8.0,,,,,,,,,,,,
42,Maggy Clapison,Completed Training,Business 23,Neil Mccarthy,2,4,1,2,2,4,2.0,4.0,1.0,2.0,2.0,4.0,7.0,5.0,3.0,5.0,1.0,4.0,6.0,7.0,7.0,6.0,8.0,3.0,7.0,4.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,6.0,7.0,8.0,8.0,8.0,5.0,8.0,8.0,6.0,4.0,8.0,8.0,4.0,4.0,8.0,,,,,,,,,,,,
43,Julia Llorens,Completed Training,Business 23,Neil Mccarthy,5,7,3,2,2,3,2.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,8.0,8.0,8.0,4.0,8.0,4.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,3.0,8.0,7.0,7.0,4.0,8.0,5.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,,,,,,,,,,,,
44,Sanford Larking,Completed Training,Business 24,Rachel Richard,3,2,3,4,2,1,2.0,2.0,4.0,3.0,1.0,1.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,6.0,8.0,5.0,8.0,5.0,8.0,4.0,4.0,5.0,8.0,8.0,6.0,8.0,5.0,3.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
45,Ulrika Lemerie,Completed Training,Business 24,Rachel Richard,6,1,3,1,2,2,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0,5.0,7.0,8.0,4.0,8.0,2.0,3.0,8.0,8.0,1.0,8.0,7.0,2.0,6.0,4.0,6.0,3.0,8.0,7.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,4.0,,,,,,,,,,,,
46,Alidia Govett,Completed Training,Business 24,Rachel Richard,3,5,7,3,3,3,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,6.0,7.0,3.0,5.0,6.0,7.0,3.0,7.0,7.0,5.0,6.0,8.0,5.0,4.0,5.0,7.0,6.0,5.0,4.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,,,,,,,,,,,,
47,Angel Matteau,Completed Training,Business 24,Rachel Richard,4,3,1,2,4,4,4.0,7.0,2.0,7.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,8.0,6.0,7.0,8.0,4.0,7.0,8.0,5.0,5.0,4.0,5.0,7.0,7.0,3.0,7.0,8.0,7.0,8.0,8.0,3.0,7.0,8.0,5.0,5.0,8.0,8.0,8.0,6.0,8.0,,,,,,,,,,,,
48,Wolfie Showers,Completed Training,Business 24,Rachel Richard,1,7,1,4,2,4,3.0,5.0,8.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,8.0,2.0,2.0,7.0,5.0,6.0,5.0,3.0,5.0,6.0,6.0,3.0,8.0,2.0,6.0,7.0,8.0,6.0,6.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,6.0,6.0,8.0,,,,,,,,,,,,
49,Nicolea Gibbins,Completed Training,Business 24,Rachel Richard,1,2,3,2,4,3,4.0,5.0,5.0,2.0,5.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,5.0,7.0,4.0,5.0,3.0,6.0,4.0,4.0,8.0,4.0,5.0,7.0,4.0,5.0,8.0,6.0,8.0,5.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
50,Florina Sudlow,Completed Training,Business 24,Rachel Richard,7,4,3,3,1,4,4.0,2.0,4.0,2.0,2.0,3.0,6.0,2.0,3.0,4.0,3.0,3.0,5.0,8.0,2.0,7.0,5.0,5.0,8.0,5.0,8.0,6.0,6.0,6.0,5.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,,,,,,,,,,,,
51,Dianna Brewett,Completed Training,Business 24,Rachel Richard,8,1,2,5,2,2,4.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,8.0,4.0,1.0,5.0,8.0,7.0,6.0,3.0,5.0,4.0,5.0,4.0,4.0,6.0,8.0,7.0,8.0,3.0,3.0,8.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,8.0,5.0,,,,,,,,,,,,
52,Megan Hallihan,Discontinued From Course,Business 24,Rachel Richard,1,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sherlocke Baselio,Completed Training,Business 24,Rachel Richard,2,5,3,4,5,2,3.0,7.0,6.0,2.0,1.0,2.0,1.0,3.0,6.0,3.0,1.0,4.0,8.0,5.0,4.0,3.0,2.0,8.0,8.0,6.0,4.0,4.0,5.0,6.0,8.0,5.0,7.0,5.0,6.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
54,Keen Tripony,Completed Training,Business 24,Rachel Richard,5,1,3,1,3,6,3.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,1.0,4.0,4.0,5.0,5.0,7.0,4.0,5.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
55,Collete Causbey,Completed Training,Business 24,Rachel Richard,1,7,3,2,3,3,4.0,1.0,6.0,5.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,6.0,8.0,3.0,8.0,8.0,4.0,2.0,6.0,4.0,8.0,5.0,6.0,8.0,8.0,6.0,3.0,3.0,8.0,8.0,8.0,3.0,8.0,7.0,5.0,8.0,8.0,8.0,8.0,6.0,,,,,,,,,,,,
56,Gabi Ivins,Completed Training,Business 25,Gregor Gomez,4,1,6,2,1,1,3.0,2.0,2.0,2.0,5.0,2.0,4.0,1.0,6.0,2.0,3.0,5.0,6.0,7.0,6.0,4.0,3.0,2.0,8.0,5.0,3.0,4.0,3.0,7.0,1.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
57,Melodee Crippen,Completed Training,Business 25,Gregor Gomez,4,2,5,1,1,3,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,6.0,1.0,5.0,4.0,6.0,3.0,1.0,7.0,6.0,6.0,8.0,3.0,5.0,3.0,8.0,5.0,6.0,8.0,5.0,5.0,8.0,1.0,8.0,8.0,5.0,4.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0
58,Wilt Gotliffe,Discontinued From Course,Business 25,Gregor Gomez,1,5,4,2,1,3,1.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Mela Burgill,Completed Training,Business 25,Gregor Gomez,1,7,2,2,3,5,5.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,5.0,2.0,2.0,4.0,8.0,8.0,8.0,6.0,4.0,6.0,6.0,6.0,3.0,8.0,5.0,6.0,8.0,3.0,3.0,5.0,7.0,6.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,4.0,8.0,3.0,8.0,8.0,6.0,3.0,8.0,8.0,7.0,8.0,8.0,2.0,6.0,8.0,8.0
60,Uriel Eidelman,Completed Training,Business 25,Gregor Gomez,8,2,3,6,4,4,2.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,6.0,2.0,4.0,2.0,8.0,4.0,8.0,4.0,8.0,8.0,8.0,7.0,6.0,8.0,5.0,7.0,3.0,6.0,6.0,6.0,5.0,5.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
